canonical_brand,aliases
Wanna Jive,Wanna JIVE
Wizard Trees,
Wyld,WYLD | WYLD-1
ZOO,Zoo | Zoo Canna
BWFW,
Benny Batch x Rec Roots x East Leaf,
Blazy Susan,
Blinksy,
Boveda,
Bubbler,
Camo,
Cartisan,
Clipper,
Dirty Lemonade,
Doob Tube,
Doobie Labs,
East Leaf,
Eaton Botanicals,
Gage Farms,
Glass Bong,
Glob Mops,
Go Stick,
Golden Garden,
Green Room,
Greenside,
Greeting Card,
Grinder,
Gron,
Jeeter,
Jetty,
Josh Taggart,
Juicy,
Jungle Girl,
KOA,
King Palm,
Lookah,
M4B Pro,
MJ Arsenal,
Oasis,
Ooze,
Papa & Barkley,
Preferred Gardens,
Puffco,
Randy's,
Randys,
Raw,
Rec Roots,
Revert,
Revival,
Scorch,
SmartBud,
Smoothie Bar,
Solar Lite,
Spoon,
Stay Melo,
Storage Bag,
Terpene Alchemy,
The Botanist,
The Original,
To The Moon,
Trout & Co,
Tyson 2.0,
Vireo,
Vlasic,
Waferz,
Wana,
Weed Water,
White Rhino,
